ObjectID,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,BuildingName,AddressNumber,AddNumFrom,AddNumTo,AddressRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddress,StAddr,Block,Sector,Neighborhood,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,X,Y,Z,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,Zmin,Zmax,ExtraInfo,ResultID,Address or Place,Address2,Address3,Neighborhood,City,County,State,ZIP,ZIP4,Country,Field1,Price,Living Area,Street Address,City,Zip,State,Country,Z
11,World,M,100,A,"2519 Middle Creek Rd, Selinsgrove, Pennsylvania, 17870","2519 Middle Creek Rd, Selinsgrove, PA, 17870, USA",2519 Middle Creek Rd,PointAddress,,,"2519 Middle Creek Rd, Selinsgrove, Pennsylvania, 17870",,,20,,2519,,,,R,,,Middle Creek,Rd,,,,,,,,,2519 Middle Creek Rd,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,8363,USA,ENG,0,-76.90819517,40.7804073,156.8493805,-76.90814999,40.78053001,-76.90914999,-76.90714999,40.77953001,40.78153001,156.8493805,156.8493805,,10,2519 Middle Creek Rd,,,,Selinsgrove,,PA,17870,,USA,10,560000,1944,2519 Middle Creek Rd,Selinsgrove,17870,PA,USA,
8,World,M,100,A,"26 Fairway Dr, Selinsgrove, Pennsylvania, 17870","26 Fairway Dr, Selinsgrove, PA, 17870, USA",26 Fairway Dr,PointAddress,,,"26 Fairway Dr, Selinsgrove, Pennsylvania, 17870",,,20,,26,,,,,,,Fairway,Dr,,,,,,,,,26 Fairway Dr,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,9103,USA,ENG,0,-76.85150643,40.83588725,141.8939972,-76.85145999,40.83624398,-76.85245999,-76.85045999,40.83524398,40.83724398,141.8939972,141.8939972,,9,26 Fairway Dr,,,,Selinsgrove,,PA,17870,,USA,9,338000,2028,26 Fairway Dr,Selinsgrove,17870,PA,USA,
16,World,M,100,A,"26 Limerick Ln, Selinsgrove, Pennsylvania, 17870","26 Limerick Ln, Selinsgrove, PA, 17870, USA",26 Limerick Ln,PointAddress,,,"26 Limerick Ln, Selinsgrove, Pennsylvania, 17870",,,20,,26,,,,,,,Limerick,Ln,,,,,,,,,26 Limerick Ln,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,7668,USA,ENG,0,-76.86003979,40.83386038,152.4208527,-76.86007801,40.83411099,-76.86107801,-76.85907801,40.83311099,40.83511099,152.4208527,152.4208527,,19,26 Limerick Ln,,,,Selinsgrove,,PA,17870,,USA,19,232900,1822,26 Limerick Ln,Selinsgrove,17870,PA,USA,
23,World,M,100,A,"28 Charles Ave, Selinsgrove, Pennsylvania, 17870","28 Charles Ave, Selinsgrove, PA, 17870, USA",28 Charles Ave,PointAddress,,,"28 Charles Ave, Selinsgrove, Pennsylvania, 17870",,,20,,28,,,,,,,Charles,Ave,,,,,,,,,28 Charles Ave,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,1102,USA,ENG,0,-76.86765752,40.80092302,143.3861542,-76.867913,40.80092302,-76.868913,-76.866913,40.79992302,40.80192302,143.3861542,143.3861542,,24,28 Charles Ave,,,,Selinsgrove,,PA,17870,,USA,24,175000,952,28 Charles Ave,Selinsgrove,17870,PA,USA,
9,World,M,100,A,"3 Bogar Cir, Selinsgrove, Pennsylvania, 17870","3 Bogar Cir, Selinsgrove, PA, 17870, USA",3 Bogar Cir,PointAddress,,,"3 Bogar Cir, Selinsgrove, Pennsylvania, 17870",,,20,,3,,,,,,,Bogar,Cir,,,,,,,,,3 Bogar Cir,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,1717,USA,ENG,0,-76.86455328,40.80975331,143.0461426,-76.86426796,40.80968198,-76.86526796,-76.86326796,40.80868198,40.81068198,143.0461426,143.0461426,,11,3 Bogar Cir,,,,Selinsgrove,,PA,17870,,USA,11,162500,1040,3 Bogar Cir,Selinsgrove,17870,PA,USA,
7,World,M,100,A,"300 Pear St, Selinsgrove, Pennsylvania, 17870","300 Pear St, Selinsgrove, PA, 17870, USA",300 Pear St,StreetAddress,,,"300 Pear St, Selinsgrove, Pennsylvania, 17870",,,20,,300,300,308,300-308,R,,,Pear,St,,,,,,,,,300 Pear St,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,1861,USA,ENG,0,-76.86104253,40.80956327,188.9852905,-76.86104253,40.80956327,-76.86204253,-76.86004253,40.80856327,40.81056327,188.9852905,188.9852905,,8,300 Pear St,,,,Selinsgrove,,PA,17870,,USA,8,95000,1014,300 Pear St,Selinsgrove,17870,PA,USA,
19,World,M,100,A,"305 Wharf Dr, Selinsgrove, Pennsylvania, 17870","305 Wharf Dr, Selinsgrove, PA, 17870, USA",305 Wharf Dr,PointAddress,,,"305 Wharf Dr, Selinsgrove, Pennsylvania, 17870",,,20,,305,,,,,,,Wharf,Dr,,,,,,,,,305 Wharf Dr,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,7427,USA,ENG,0,-76.83839235,40.83716427,152.2557678,-76.83846502,40.83704902,-76.83946502,-76.83746502,40.83604902,40.83804902,152.2557678,152.2557678,,20,305 Wharf Dr,,,,Selinsgrove,,PA,17870,,USA,20,259999,1670,305 Wharf Dr,Selinsgrove,17870,PA,USA,
2,World,M,99.5,A,"315 E Walnut St, Selinsgrove, Pennsylvania, 17870","315 E Walnut St, Selinsgrove, PA, 17870, USA",315 E Walnut St,PointAddress,,,"315 E Walnut St, Selinsgrove, Pennsylvania, 17870",,,20,,315,,,,,E,,Walnut,St,,,,,,,,,315 E Walnut St,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,2128,USA,ENG,0,-76.85554055,40.79681739,185.8017731,-76.85555899,40.79673299,-76.85655899,-76.85455899,40.79573299,40.79773299,185.8017731,185.8017731,,3,315 Walnut St,,,,Selinsgrove,,PA,17870,,USA,3,145000,1872,315 Walnut St,Selinsgrove,17870,PA,USA,
1,World,M,100,A,"5 Pavilion Ln, Selinsgrove, Pennsylvania, 17870","5 Pavilion Ln, Selinsgrove, PA, 17870, USA",5 Pavilion Ln,PointAddress,,,"5 Pavilion Ln, Selinsgrove, Pennsylvania, 17870",,,20,,5,,,,,,,Pavilion,Ln,,,,,,,,,5 Pavilion Ln,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,9272,USA,ENG,0,-76.84181644,40.83758747,154.5406647,-76.84212498,40.83767498,-76.84312498,-76.84112498,40.83667498,40.83867498,154.5406647,154.5406647,,4,5 Pavilion Ln,,,,Selinsgrove,,PA,17870,,USA,4,189900,1148,5 Pavilion Ln,Selinsgrove,17870,PA,USA,
6,World,M,100,A,"54 N 2nd St, Selinsgrove, Pennsylvania, 17870","54 N 2nd St, Selinsgrove, PA, 17870, USA",54 N 2nd St,StreetAddress,,,"54 N 2nd St, Selinsgrove, Pennsylvania, 17870",,,20,,54,8,98,8-98,L,N,,2nd,St,,,,,,,,,54 N 2nd St,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,2100,USA,ENG,0,-76.85586409,40.79900265,131.0061646,-76.85586409,40.79900265,-76.85686409,-76.85486409,40.79800265,40.80000265,131.0061646,131.0061646,,2,54 N 2nd St,,,,Selinsgrove,,PA,17870,,USA,2,139900,920,54 N 2nd St,Selinsgrove,17870,PA,USA,
5,World,M,100,A,"5589 Route 15 S, Selinsgrove, Pennsylvania, 17870","5589 Route 15 S, Selinsgrove, PA, 17870, USA",5589 Route 15 S,PointAddress,,,"5589 Route 15 S, Selinsgrove, Pennsylvania, 17870",,,20,,5589,,,,,,,Route 15,,S,,,,,,,,5589 Route 15 S,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,7793,USA,ENG,0,-76.82865593,40.87339002,162.0917511,-76.82871796,40.87298199,-76.82971796,-76.82771796,40.87198199,40.87398199,162.0917511,162.0917511,,1,5589 Route 15 S,,,,Selinsgrove,,PA,17870,,USA,1,130000,2502,5589 Route 15 S,Selinsgrove,17870,PA,USA,
18,World,M,100,A,"709 N Market St, Selinsgrove, Pennsylvania, 17870","709 N Market St, Selinsgrove, PA, 17870, USA",709 N Market St,PointAddress,,,"709 N Market St, Selinsgrove, Pennsylvania, 17870",,,20,,709,,,,,N,,Market,St,,,,,,,,,709 N Market St,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,2007,USA,ENG,0,-76.85746822,40.80776592,132.0467987,-76.85722599,40.807622,-76.85822599,-76.85622599,40.806622,40.808622,132.0467987,132.0467987,,18,709 N Market St,,,,Selinsgrove,,PA,17870,,USA,18,139000,1760,709 N Market St,Selinsgrove,17870,PA,USA,
3,World,M,100,A,"734 App Rd, Selinsgrove, Pennsylvania, 17870","734 App Rd, Selinsgrove, PA, 17870, USA",734 App Rd,PointAddress,,,"734 App Rd, Selinsgrove, Pennsylvania, 17870",,,20,,734,,,,,,,App,Rd,,,,,,,,,734 App Rd,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,7635,USA,ENG,0,-76.85590869,40.83766253,187.4425507,-76.85563502,40.837369,-76.85663502,-76.85463502,40.836369,40.838369,187.4425507,187.4425507,,5,734 App Rd,,,,Selinsgrove,,PA,17870,,USA,5,299000,3264,734 App Rd,Selinsgrove,17870,PA,USA,
4,World,M,100,A,"9 Calvett Pl, Selinsgrove, Pennsylvania, 17870","9 Calvett Pl, Selinsgrove, PA, 17870, USA",9 Calvett Pl,PointAddress,,,"9 Calvett Pl, Selinsgrove, Pennsylvania, 17870",,,20,,9,,,,,,,Calvett,Pl,,,,,,,,,9 Calvett Pl,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,9489,USA,ENG,0,-76.87546107,40.80647578,139.874588,-76.87543601,40.80668499,-76.87643601,-76.87443601,40.80568499,40.80768499,139.874588,139.874588,,7,9 Calvett Pl,,,,Selinsgrove,,PA,17870,,USA,7,229900,1526,9 Calvett Pl,Selinsgrove,17870,PA,USA,
20,World,M,100,A,"956 Pine Brook Rd, Selinsgrove, Pennsylvania, 17870","956 Pine Brook Rd, Selinsgrove, PA, 17870, USA",956 Pine Brook Rd,PointAddress,,,"956 Pine Brook Rd, Selinsgrove, Pennsylvania, 17870",,,20,,956,,,,,,,Pine Brook,Rd,,,,,,,,,956 Pine Brook Rd,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,7928,USA,ENG,0,-76.91816896,40.79978999,153.5916595,-76.91816896,40.79978999,-76.91916896,-76.91716896,40.79878999,40.80078999,153.5916595,153.5916595,,14,956 Pine Brook Rd,,,,Selinsgrove,,PA,17870,,USA,14,525000,2880,956 Pine Brook Rd,Selinsgrove,17870,PA,USA,
35,World,M,75.57,A,"Monroe St, Selinsgrove, Pennsylvania, 17870","Monroe St, Selinsgrove, PA, 17870, USA",Monroe St,StreetName,,,"Monroe St, Selinsgrove, Pennsylvania, 17870",,,20,,,,,,,,,Monroe,St,,,,,,,,,Monroe St,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,,USA,ENG,0,-76.83775079,40.83348827,143.3861542,-76.83775079,40.83348827,-76.83875079,-76.83675079,40.83248827,40.83448827,143.3861542,143.3861542,NOTTINGHAM PLAN,34,"Nottingham Plan, Monroe Manor",,,,Selinsgrove,,PA,17870,,USA,34,329516,2077,"Nottingham Plan, Monroe Manor",Selinsgrove,17870,PA,USA,
